date,median_sale_price
2010-02-01,239019.45268358101
2010-01-01,244608.62833092699
2009-12-01,259638.95577712401
2009-11-01,260641.42278784601
2009-10-01,256631.554744956
2009-09-01,260641.42278784601
2009-08-01,277349.20629988803
2009-07-01,276680.894959406
2009-06-01,288042.18774759403
2009-05-01,260641.42278784601
2009-04-01,240592.082573397
2009-03-01,247943.50731869499
2009-02-01,243265.327935323
2009-01-01,247275.19597821301
2008-12-01,252411.94726701101
2008-11-01,271797.50457888801
2008-10-01,266468.14174400701
2008-09-01,282789.31542582798
2008-08-01,302441.34087944799
2008-07-01,301109.00017072802
2008-06-01,299776.65946200798
2008-05-01,273129.84528760798
2008-04-01,283788.57095736801
2008-03-01,289117.93379224802
2008-02-01,266468.14174400701
2008-01-01,269132.82316144701
2007-12-01,290465.46603272302
2007-11-01,301530.81711968401
2007-10-01,304297.15489142499
2007-09-01,311212.99932077498
2007-08-01,328848.40261561901
2007-07-01,328502.61039415101
2007-06-01,320895.181521866
2007-05-01,303252.86238259298
2007-04-01,304297.15489142499
2007-03-01,311212.99932077498
2007-02-01,302222.40156261902
2007-01-01,297381.31046207401
2006-12-01,302360.60693761101
2006-11-01,313032.15777070302
2006-10-01,310186.41088187898
2006-09-01,320146.52499276499
2006-08-01,320146.52499276499
2006-07-01,327260.89221482602
2006-06-01,320786.81804275
2006-05-01,313032.15777070302
2006-04-01,305917.79054864199
2006-03-01,301649.170215405
2006-02-01,298803.42332658003
2006-01-01,293111.92954893102
2005-12-01,315774.73540457501
2005-11-01,311368.57630590699
2005-10-01,314306.015705019
2005-09-01,308431.13690679398
2005-08-01,330461.93240013701
2005-07-01,317243.45510413102
2005-06-01,308431.13690679398
2005-05-01,286400.341413452
2005-04-01,281994.18231478299
2005-03-01,274283.40389211301
2005-02-01,271713.14441789
2005-01-01,276119.30351655901
2004-12-01,288449.31845251197
2004-11-01,287614.33358330699
2004-10-01,280858.54691428802
2004-09-01,280858.54691428802
2004-08-01,296040.08999073599
2004-07-01,296040.08999073599
2004-06-01,280858.54691428802
2004-05-01,273267.775376064
2004-04-01,262640.695222551
2004-03-01,258086.23229961601
2004-02-01,250495.46076139199
2004-01-01,248977.30645374701
2003-12-01,264970.869565217
2003-11-01,264815.004347826
2003-10-01,258736.26086956501
2003-09-01,261463.902173913
2003-08-01,272296.53478260897
2003-07-01,272764.130434783
2003-06-01,257177.60869565199
2003-05-01,249384.347826087
2003-04-01,241591.08695652199
2003-03-01,227563.217391304
2003-02-01,231459.847826087
2003-01-01,233797.82608695701
2002-12-01,239170.49666419599
2002-11-01,247142.84655300199
2002-10-01,243953.90659748
2002-09-01,247142.84655300199
2002-08-01,261493.076352854
2002-07-01,246345.61156412199
2002-06-01,239170.49666419599
2002-05-01,227052.52483320999
2002-04-01,215253.44699777599
2002-03-01,223066.34988880699
2002-02-01,207281.09710896999
2002-01-01,223066.34988880699
2001-12-01,223547.91809837599
2001-11-01,226787.742998353
2001-10-01,226787.742998353
2001-09-01,226787.742998353
2001-08-01,234887.305248294
2001-07-01,226787.742998353
2001-06-01,221928.005648388
2001-05-01,214962.382113439
2001-04-01,218688.18074841099
2001-03-01,205728.88114850601
2001-02-01,210588.61849846999
2001-01-01,204918.92492351099
2022-10-01,263500
2022-09-01,285500
2022-08-01,281000
2022-07-01,285000
2022-06-01,270000
2022-05-01,260000
2022-04-01,253500
2022-03-01,250000
2022-02-01,251000
2022-01-01,241000
2021-12-01,264496.20000000001
2021-11-01,273069.29999999999
2021-10-01,272010.90000000002
2021-09-01,267248.09999999998
2021-08-01,275186.09999999998
2021-07-01,280478.20000000001
2021-06-01,261426.79999999999
2021-05-01,264602
2021-04-01,259310
2021-03-01,229992.10000000001
2021-02-01,262485.20000000001
2021-01-01,248725.89999999999
2020-12-01,288079.20000000001
2020-11-01,268689.29999999999
2020-10-01,296666.20000000001
2020-09-01,290849.20000000001
2020-08-01,285752.40000000002
2020-07-01,281730.95000000001
2020-06-01,276999.20000000001
2020-05-01,250684.31732945199
2020-04-01,259271.293945157
2020-03-01,210519.42670760601
2020-02-01,206087.43877692
2020-01-01,208303.43274226299
2019-12-01,253253.199241922
2019-11-01,229975.21968812399
2019-10-01,213147.76458899301
2019-09-01,222122.40730853
2019-08-01,235584.37138783399
2019-07-01,236821.75025278999
2019-06-01,241193.52308754501
2019-05-01,213147.76458899301
2019-04-01,200807.63084962999
2019-03-01,196320.309489862
2019-02-01,168274.55099131001
2019-01-01,195703.302802894
2018-12-01,211525.71705639301
2018-11-01,199875.81255328699
2018-10-01,226145.20506029
2018-09-01,225003.05755998599
2018-08-01,225602.684997645
2018-07-01,246132.786315618
2018-06-01,229229.003311112
2018-05-01,225859.66818521399
2018-04-01,208441.91880556999
2018-03-01,179831.12392294299
2018-02-01,184285.49917413
2018-01-01,201303.49692866701
2017-12-01,224640.33681324701
2017-11-01,234000.350847133
2017-10-01,257283.38575642201
2017-09-01,202410.30348276999
2017-08-01,239733.35944288701
2017-07-01,234000.350847133
2017-06-01,213525.320148008
2017-05-01,215932.59875734799
2017-04-01,221715.332427658
2017-03-01,193050.289448884
2017-02-01,215865.32365648
2017-01-01,196560.294711592
2016-12-01,212101.796313625
2016-11-01,213296.736011167
2016-10-01,220466.374196416
2016-09-01,222258.783742728
2016-08-01,237792.999810768
2016-07-01,244365.168147246
2016-06-01,227038.542532894
2016-05-01,223453.72344027
2016-04-01,209114.44706977101
2016-03-01,197165.050094356
2016-02-01,184618.18327017
2016-01-01,197105.303109478
2015-12-01,212974.764954268
2015-11-01,207529.38744123199
2015-10-01,211764.68106248201
2015-09-01,217754.59632682
2015-08-01,211704.17686789299
2015-07-01,234756.27500640901
2015-06-01,225831.90630449
2015-05-01,238386.52668176501
2015-04-01,194823.506577483
2015-03-01,200268.884090518
2015-02-01,171771.40843896699
2015-01-01,185142.83544319801
2014-12-01,213232.75669053601
2014-11-01,207780.78279787899
2014-10-01,212021.206936612
2014-09-01,227771.353737617
2014-08-01,230194.45324546401
2014-07-01,215655.85619838201
2014-06-01,251093.68650064399
2014-05-01,228255.97363918601
2014-04-01,193847.96062775899
2014-03-01,224136.70447584699
2014-02-01,191424.86111991201
2014-01-01,195786.440234037
2013-12-01,217293.014540565
2013-11-01,227757.55065158301
2013-10-01,208059.60032495999
2013-09-01,233297.59918094601
2013-08-01,263152.30514473497
2013-07-01,242838.79387040401
2013-06-01,232004.921190761
2013-05-01,233913.16012865299
2013-04-01,212368.526958909
2013-03-01,201903.99084789
2013-02-01,200672.86895247601
2013-01-01,211752.96601120199
2012-12-01,210734.94393715
2012-11-01,206737.60060224301
2012-10-01,224725.64560932701
2012-09-01,212358.864666957
2012-08-01,242963.52457484099
2012-07-01,221727.638108146
2012-06-01,231096.411549335
2012-05-01,249833.95843171401
2012-04-01,214388.765579214
2012-03-01,187375.46882378499
2012-02-01,202990.091225768
2012-01-01,202677.79877772799
2011-12-01,220395.411763137
2011-11-01,247044.32183458301
2011-10-01,228237.076688467
2011-09-01,219885.384776124
2011-08-01,232699.812824833
2011-07-01,280514.84285733302
2011-06-01,256288.56097419999
2011-05-01,248574.402795623
2011-04-01,248638.15616899999
2011-03-01,237736.32932158999
2011-02-01,239075.15016250001
2011-01-01,255013.493506667
2010-12-01,248553.92878787799
2010-11-01,255129.42954946199
2010-10-01,253156.779320987
2010-09-01,293924.88404280797
2010-08-01,284061.63290043199
2010-07-01,231128.85176968001
2010-06-01,255786.97962562001
2010-05-01,271502.42644580599
2010-04-01,241978.42802629399
2010-03-01,251841.67916867
2010-02-01,221923.15070346199
2010-01-01,252170.45420674901
2009-12-01,247275.19597821301
2009-11-01,244601.95061628701
2009-10-01,274007.64959748002
2009-09-01,279287.30918728502
2009-08-01,255294.93206399301
2009-07-01,277349.20629988803
2009-06-01,294056.989811929
2009-05-01,253958.30938302999
2009-04-01,215196.25163509301
2009-03-01,247275.19597821301
2009-02-01,216216.09474066901
2009-01-01,241880.586837846
