Month of Observation,Median Home Price (NSA)
1974-12-15,31435.700000000001
1975-01-15,32033.5
1975-02-15,32086.75
1975-03-15,32169.16
1975-04-15,32222.41
1975-05-15,32318.77
1975-06-15,32298.490000000002
1975-07-15,32472.18
1975-08-15,32664.889999999999
1975-09-15,32994.540000000001
1975-10-15,33239.230000000003
1975-11-15,33475.050000000003
1975-12-15,33570.139999999999
1976-01-15,33693.120000000003
1976-02-15,33757.779999999999
1976-03-15,34054.459999999999
1976-04-15,34395.510000000002
1976-05-15,34801.220000000001
1976-06-15,34908.989999999998
1976-07-15,35196.790000000001
1976-08-15,35426.269999999997
1976-09-15,35681.110000000001
1976-10-15,35797.75
1976-11-15,36005.68
1976-12-15,36304.889999999999
1977-01-15,36606.639999999999
1977-02-15,37036.440000000002
1977-03-15,37566.400000000001
1977-04-15,38234.559999999998
1977-05-15,38707.470000000001
1977-06-15,39000.339999999997
1977-07-15,39402.25
1977-08-15,39801.620000000003
1977-09-15,40322.709999999999
1977-10-15,40829.849999999999
1977-11-15,41252.040000000001
1977-12-15,41624.790000000001
1978-01-15,42044.449999999997
1978-02-15,42516.089999999997
1978-03-15,43108.18
1978-04-15,43673.639999999999
1978-05-15,44273.330000000002
1978-06-15,44940.220000000001
1978-07-15,45572.879999999997
1978-08-15,46173.839999999997
1978-09-15,46658.160000000003
1978-10-15,47110.779999999999
1978-11-15,47605.239999999998
1978-12-15,48169.440000000002
1979-01-15,48813.5
1979-02-15,49427.139999999999
1979-03-15,50082.620000000003
1979-04-15,50733.029999999999
1979-05-15,51391.040000000001
1979-06-15,52041.449999999997
1979-07-15,52624.660000000003
1979-08-15,53154.620000000003
1979-09-15,53604.709999999999
1979-10-15,54080.150000000001
1979-11-15,54468.120000000003
1979-12-15,54796.489999999998
1980-01-15,55074.150000000001
1980-02-15,55392.379999999997
1980-03-15,55865.290000000001
1980-04-15,56388.910000000003
1980-05-15,56788.279999999999
1980-06-15,57133.139999999999
1980-07-15,57529.970000000001
1980-08-15,57865.949999999997
1980-09-15,58147.419999999998
1980-10-15,58387.040000000001
1980-11-15,58621.589999999997
1980-12-15,58853.610000000001
1981-01-15,59034.910000000003
1981-02-15,59272
1981-03-15,59625.730000000003
1981-04-15,60156.959999999999
1981-05-15,60575.349999999999
1981-06-15,60967.120000000003
1981-07-15,61280.269999999997
1981-08-15,61594.699999999997
1981-09-15,61711.339999999997
1981-10-15,61795.019999999997
1981-11-15,61798.830000000002
1981-12-15,61848.269999999997
1982-01-15,61890.110000000001
1982-02-15,61990.269999999997
1982-03-15,61956.040000000001
1982-04-15,62037.18
1982-05-15,62118.32
1982-06-15,62113.25
1982-07-15,62096.769999999997
1982-08-15,62068.879999999997
1982-09-15,62090.43
1982-10-15,62091.699999999997
1982-11-15,62095.5
1982-12-15,62200.730000000003
1983-01-15,62408.660000000003
1983-02-15,62733.230000000003
1983-03-15,62993.139999999999
1983-04-15,63317.709999999999
1983-05-15,63635.940000000002
1983-06-15,63947.830000000002
1983-07-15,64312.970000000001
1983-08-15,64598.239999999998
1983-09-15,64770.669999999998
1983-10-15,64892.379999999997
1983-11-15,64981.129999999997
1983-12-15,65151.019999999997
1984-01-15,65341.199999999997
1984-02-15,65551.660000000003
1984-03-15,65850.880000000005
1984-04-15,66219.820000000007
1984-05-15,66636.940000000002
1984-06-15,67021.100000000006
1984-07-15,67391.309999999998
1984-08-15,67714.610000000001
1984-09-15,67914.940000000002
1984-10-15,68040.449999999997
1984-11-15,68050.600000000006
1984-12-15,68197.669999999998
1985-01-15,68432.220000000001
1985-02-15,68742.839999999997
1985-03-15,69134.610000000001
1985-04-15,69604.979999999996
1985-05-15,70137.479999999996
1985-06-15,70642.080000000002
1985-07-15,71147.949999999997
1985-08-15,71638.610000000001
1985-09-15,72102.639999999999
1985-10-15,72510.889999999999
1985-11-15,72907.729999999996
1985-12-15,73295.690000000002
1986-01-15,73735.639999999999
1986-02-15,74171.779999999999
